0,012238
0,040309
0,054543
0,086496
0,139472
0,198697
0,268678
0,349788
0,446772
0,551718
0,678422
0,794288
0,933696
1,08205
1,23856
1,4362
1,60002
1,80398
2,00395
2,20275
2,44958
2,69715
2,92731
3,19758
3,4843
3,79564
4,08402
4,44423
4,79996
5,14031
5,52685
5,88774
6,29073
6,6078
7,03408
7,47153
7,87731
8,28422
8,73437
9,15415
9,59258
10,0851
10,6003
11,0333
11,5329
12,0703
12,6034
13,1215
13,6649
14,2353
14,8681
15,3937
16,0031
16,7485
17,2757
17,8455
18,5508
19,2153
19,8918
20,4872
21,1864
21,9785
22,547
23,4076
24,2036
25,0767
25,9508
26,4254
27,3052
28,045
28,8907
29,8357
30,6075
31,3963
32,2421
33,1326
34,0491
34,9031
35,7622
36,9143
37,7511
38,626
39,5494
40,5481
42,0008
42,4619
43,4775
44,4733
45,7423
46,5002
47,5705
48,5891
49,6362
50,8604
51,888
53,0011
54,1415
55,2165
56,3603
57,3657
